地名,センター,ペットボトル,プラスチック容器包装類,埋立ごみ,有害ごみ,食用びん類,飲料用空缶類,金属類,紙類（資源ごみ）
フラワータウン伊佐津,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
古川,リサイクル事務所,木4 木2,木4 木2,木2,木2,木2,木2,木2,木2
別所,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
堀,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
堀上,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
ポレスター西,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
ポレスター東,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
ポレスター東駅北,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
本,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
本町５丁目,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
本町３丁目,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
本町４丁目,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
舞引土,リサイクル事務所,月4 ,月4 ,月4,月4,月4,月4,月4,月4
真壁,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
真倉,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
正巳,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
松尾,リサイクル事務所,木1 ,木1 ,木1,木1,木1,木1,木1,木1
